ENERGY, 925.173187 joules, 1496053973 ms, plat
ENERGY, 925.173187 joules, 1496053973 ms, plat.node0
ENERGY, 931.549957 joules, 1496054073 ms, plat
ENERGY, 931.549957 joules, 1496054073 ms, plat.node0
ENERGY, 937.959229 joules, 1496054173 ms, plat
ENERGY, 937.959229 joules, 1496054173 ms, plat.node0
ENERGY, 944.417236 joules, 1496054274 ms, plat
ENERGY, 944.417236 joules, 1496054274 ms, plat.node0
ENERGY, 950.771912 joules, 1496054374 ms, plat
ENERGY, 950.771912 joules, 1496054374 ms, plat.node0
ENERGY, 957.105255 joules, 1496054474 ms, plat
ENERGY, 957.105255 joules, 1496054474 ms, plat.node0
ENERGY, 963.484406 joules, 1496054574 ms, plat
ENERGY, 963.484406 joules, 1496054574 ms, plat.node0
ENERGY, 969.939850 joules, 1496054676 ms, plat
ENERGY, 969.939850 joules, 1496054676 ms, plat.node0
ENERGY, 976.708344 joules, 1496054781 ms, plat
ENERGY, 976.708344 joules, 1496054781 ms, plat.node0
ENERGY, 983.049316 joules, 1496054881 ms, plat
ENERGY, 983.049316 joules, 1496054881 ms, plat.node0
ENERGY, 989.450073 joules, 1496054981 ms, plat
ENERGY, 989.450073 joules, 1496054981 ms, plat.node0
ENERGY, 995.852142 joules, 1496055081 ms, plat
ENERGY, 995.852142 joules, 1496055081 ms, plat.node0
ENERGY, 1002.222198 joules, 1496055182 ms, plat
ENERGY, 1002.222198 joules, 1496055182 ms, plat.node0
ENERGY, 1008.611481 joules, 1496055282 ms, plat
ENERGY, 1008.611481 joules, 1496055282 ms, plat.node0
ENERGY, 1015.063904 joules, 1496055383 ms, plat
ENERGY, 1015.063904 joules, 1496055383 ms, plat.node0
ENERGY, 1021.455811 joules, 1496055484 ms, plat
ENERGY, 1021.455811 joules, 1496055484 ms, plat.node0
ENERGY, 1027.836670 joules, 1496055584 ms, plat
ENERGY, 1027.836670 joules, 1496055584 ms, plat.node0
ENERGY, 1034.234680 joules, 1496055684 ms, plat
ENERGY, 1034.234680 joules, 1496055684 ms, plat.node0
ENERGY, 1040.799683 joules, 1496055788 ms, plat
ENERGY, 1040.799683 joules, 1496055788 ms, plat.node0
ENERGY, 1047.433167 joules, 1496055891 ms, plat
ENERGY, 1047.433167 joules, 1496055891 ms, plat.node0
ENERGY, 1053.794830 joules, 1496055992 ms, plat
ENERGY, 1053.794830 joules, 1496055992 ms, plat.node0
ENERGY, 1060.624481 joules, 1496056099 ms, plat
ENERGY, 1060.624481 joules, 1496056099 ms, plat.node0
ENERGY, 1067.075806 joules, 1496056201 ms, plat
ENERGY, 1067.075806 joules, 1496056201 ms, plat.node0
ENERGY, 1073.522064 joules, 1496056302 ms, plat
ENERGY, 1073.522064 joules, 1496056302 ms, plat.node0
