time(ms) energy(J) GlobalRank
ENERGY, 912.410645 joules, 1495877451 ms, plat.node0
ENERGY, 918.696381 joules, 1495877551 ms, plat
ENERGY, 918.696381 joules, 1495877551 ms, plat.node0
ENERGY, 924.985382 joules, 1495877652 ms, plat
ENERGY, 924.985382 joules, 1495877652 ms, plat.node0
ENERGY, 931.285278 joules, 1495877752 ms, plat
ENERGY, 931.285278 joules, 1495877752 ms, plat.node0
ENERGY, 937.514832 joules, 1495877852 ms, plat
ENERGY, 937.514832 joules, 1495877852 ms, plat.node0
ENERGY, 943.809509 joules, 1495877952 ms, plat
ENERGY, 943.809509 joules, 1495877952 ms, plat.node0
ENERGY, 950.092133 joules, 1495878052 ms, plat
ENERGY, 950.092133 joules, 1495878052 ms, plat.node0
ENERGY, 956.376587 joules, 1495878152 ms, plat
ENERGY, 956.376587 joules, 1495878152 ms, plat.node0
ENERGY, 962.602570 joules, 1495878252 ms, plat
ENERGY, 962.602570 joules, 1495878252 ms, plat.node0
ENERGY, 968.901154 joules, 1495878352 ms, plat
ENERGY, 968.901154 joules, 1495878352 ms, plat.node0
ENERGY, 975.339020 joules, 1495878452 ms, plat
ENERGY, 975.339020 joules, 1495878452 ms, plat.node0
ENERGY, 982.317230 joules, 1495878552 ms, plat
ENERGY, 982.317230 joules, 1495878552 ms, plat.node0
ENERGY, 989.304474 joules, 1495878653 ms, plat
ENERGY, 989.304474 joules, 1495878653 ms, plat.node0
ENERGY, 996.305725 joules, 1495878753 ms, plat
ENERGY, 996.305725 joules, 1495878753 ms, plat.node0
ENERGY, 1003.285614 joules, 1495878853 ms, plat
ENERGY, 1003.285614 joules, 1495878853 ms, plat.node0
ENERGY, 1010.261322 joules, 1495878953 ms, plat
ENERGY, 1010.261322 joules, 1495878953 ms, plat.node0
ENERGY, 1017.253815 joules, 1495879053 ms, plat
ENERGY, 1017.253815 joules, 1495879053 ms, plat.node0
ENERGY, 1024.187347 joules, 1495879153 ms, plat
ENERGY, 1024.187347 joules, 1495879153 ms, plat.node0
ENERGY, 1031.168091 joules, 1495879253 ms, plat
ENERGY, 1031.168091 joules, 1495879253 ms, plat.node0
ENERGY, 1038.146576 joules, 1495879353 ms, plat
ENERGY, 1038.146576 joules, 1495879354 ms, plat.node0
ENERGY, 1045.136627 joules, 1495879454 ms, plat
ENERGY, 1045.136627 joules, 1495879454 ms, plat.node0
ENERGY, 1052.142059 joules, 1495879554 ms, plat
ENERGY, 1052.142059 joules, 1495879554 ms, plat.node0
ENERGY, 1059.119965 joules, 1495879654 ms, plat
ENERGY, 1059.119965 joules, 1495879654 ms, plat.node0
ENERGY, 1066.099274 joules, 1495879754 ms, plat
ENERGY, 1066.099274 joules, 1495879754 ms, plat.node0
ENERGY, 1073.014008 joules, 1495879854 ms, plat
ENERGY, 1073.014008 joules, 1495879854 ms, plat.node0
ENERGY, 1080.023682 joules, 1495879954 ms, plat
ENERGY, 1080.023682 joules, 1495879954 ms, plat.node0
ENERGY, 1086.999725 joules, 1495880054 ms, plat
